employee_id,salary_month,bhxh_nld,bhxh_cty,bhyt_nld,bhyt_cty,bhtn_nld,bhtn_cty,tong_bhxh_bhyt_bhtn_nld,tong_bhxh_bhyt_bhtn_cty,thue_tncn,tam_ung,khau_tru_khac,tong_khau_tru,tien_luong_thuc_nhan_cuoi_ky
NV001,2024-01,850000,1700000,212500,425000,85000,170000,1147500,2295000,1800000,5000000,200000,7147500,14102500
NV002,2024-01,679500,1359000,169875,339750,67950,135900,917325,1834650,1200000,3000000,150000,5267325,11682675
NV003,2024-01,1050000,2100000,262500,525000,105000,210000,1417500,2835000,2500000,8000000,300000,12217500,14032500
NV004,2024-01,592000,1184000,148000,296000,59200,118400,799200,1598400,900000,2000000,100000,3799200,11000800
NV005,2024-01,753000,1506000,188250,376500,75300,150600,1016550,2033100,1500000,4000000,180000,6696550,12128450
NV006,2024-01,970000,1940000,242500,485000,97000,194000,1309500,2619000,2200000,6000000,250000,9759500,14515500
NV007,2024-01,638000,1276000,159500,319000,63800,127600,861300,1722600,1100000,2500000,120000,4581300,11393700
NV008,2024-01,896000,1792000,224000,448000,89600,179200,1209600,2419200,2000000,5500000,220000,8929600,13470400
NV009,2024-01,714000,1428000,178500,357000,71400,142800,963900,1927800,1400000,3500000,160000,6023900,11826100
NV010,2024-01,819000,1638000,204750,409500,81900,163800,1105650,2211300,1700000,4500000,190000,7495650,12979350
NV011,2024-01,612000,1224000,153000,306000,61200,122400,826200,1652400,1050000,2800000,130000,4806200,10203000
NV012,2024-01,1134000,2268000,283500,567000,113400,226800,1530900,3061800,2800000,9000000,350000,13680900,15163000
NV013,2024-01,472500,945000,118125,236250,47250,94500,637875,1275750,750000,1500000,80000,2967875,9344000
NV014,2024-01,990000,1980000,247500,495000,99000,198000,1336500,2673000,2100000,6200000,240000,9876500,13881000
NV015,2024-01,765000,1530000,191250,382500,76500,153000,1032750,2065500,1450000,3800000,170000,6452750,12313000
NV016,2024-01,1350000,2700000,337500,675000,135000,270000,1822500,3645000,3200000,12000000,400000,17422500,17622000
NV017,2024-01,405000,810000,101250,202500,40500,81000,546750,1093500,600000,1200000,60000,2406750,8030000
NV018,2024-01,1080000,2160000,270000,540000,108000,216000,1458000,2916000,2300000,7000000,280000,11038000,15065000
NV019,2024-01,675000,1350000,168750,337500,67500,135000,911250,1822500,1300000,3200000,150000,5561250,11248000
NV020,2024-01,1282500,2565000,320625,641250,128250,256500,1731375,3462750,2900000,10500000,380000,15511375,16258000
